,Fish,Current_BB,Current_F,cluster,cluster_names
467,SWORDEPAC,8.96,0.06,2,Eat Me
344,ESOLEPCOAST,6.42,0.0741,2,Eat Me
398,RSARDINWA,5.79,3.27,2,Eat Me
402,NZLINGLIN5-6,4.33,0.0412,2,Eat Me
73,ATOOTHFISHRS,4.03,0.322,2,Eat Me
35,ARFLOUNDPCOAST,3.81,0.21,2,Eat Me
108,PTOOTHFISHPEI,3.6,0.006490000000000001,2,Eat Me
333,DSOLEPCOAST,3.44,0.124,2,Eat Me
32,KMACKGM,3.33,1.23,2,Eat Me
343,ARFLOUNDBSAI,3.16,0.0759,2,Eat Me
204,CALSCORPSCAL,3.15,0.441,2,Eat Me
437,NZLINGLIN3-4,3.13,0.12300000000000001,2,Eat Me
411,ARFLOUNDGA,2.99,0.0787,2,Eat Me
104,RKCRABPI,2.93,0.28,2,Eat Me
470,GRNSTROCKPCOAST,2.81,0.0044,2,Eat Me
494,ATLCROAKMATLC,2.78,0.282,2,Eat Me
174,FLSOLEGA,2.6,0.036,2,Eat Me
302,KMACKSATLC,2.59,0.168,2,Eat Me
33,DSOLEGA,2.57,0.0483,2,Eat Me
268,LINGCODNPCOAST,2.56,0.253,2,Eat Me
389,GOPHERSPCOAST,2.55,0.345,2,Eat Me
405,NZLINGLIN72,2.49,0.32299999999999995,2,Eat Me
335,CTRACSA,2.48,0.171,2,Eat Me
128,SOUTHHAKESA,2.4,0.10800000000000001,2,Eat Me
403,CABEZSCAL,2.36,0.182,2,Eat Me
480,NRSOLEEBSAI,2.33,0.231,2,Eat Me
93,PTOOTHFISHMI,2.3,0.19399999999999998,2,Eat Me
59,ARGANCHOSARG,2.28,0.0353,2,Eat Me
331,BLACKROCKSPCOAST,2.23,0.327,2,Eat Me
133,TARAKNZ,2.22,0.7659999999999999,2,Eat Me
122,NZLINGLIN7WC,2.21,0.134,2,Eat Me
16,BTIPSHARGM,2.19,0.0775,2,Eat Me
390,NZLINGLIN6b,2.19,0.113,2,Eat Me
25,LSTHORNHPCOAST,2.19,0.14300000000000002,2,Eat Me
103,POLL5YZ,2.15,0.28,2,Eat Me
374,PATGRENADIERSARG,2.15,0.595,2,Eat Me
379,SNROCKPCOAST,2.05,0.0578,2,Eat Me
153,FLSOLEBSAI,2.04,0.166,2,Eat Me
52,HOKIENZ,1.99,0.382,1,Never Eat Me
29,TIGERFLATSE,1.99,0.547,1,Never Eat Me
84,CHILISPCOAST,1.96,0.0345,1,Never Eat Me
498,OROUGHYCR,1.96,0.41700000000000004,1,Never Eat Me
23,ALBAMED,1.91,0.06,1,Never Eat Me
179,CHAKESA,1.91,1.09,1,Never Eat Me
469,SCMPBP,1.89,0.253,1,Never Eat Me
64,REDFISHSPP3LN,1.88,0.0407,1,Never Eat Me
10,PCODGA,1.84,0.5489999999999999,1,Never Eat Me
415,SPANMACKGM,1.84,0.33299999999999996,1,Never Eat Me
14,CABEZNCAL,1.82,0.222,1,Never Eat Me
105,BLACKROCKNPCOAST,1.77,0.28,1,Never Eat Me
493,LNOSESKAPCOAST,1.76,0.8,1,Never Eat Me
348,YSOLEBSAI,1.75,0.615,1,Never Eat Me
81,BUTTERGOMCHATT,1.74,0.0247,1,Never Eat Me
425,ALPLAICBSAI,1.69,0.177,1,Never Eat Me
463,SSTHORNHPCOAST,1.68,0.265,1,Never Eat Me
50,YEGROUPGM,1.67,0.68,1,Never Eat Me
422,HERRNWATLC,1.66,0.33899999999999997,1,Never Eat Me
325,SCMPWHB,1.65,0.335,1,Never Eat Me
365,AUSSALMONNZ,1.64,0.32799999999999996,1,Never Eat Me
456,YELL3LNO,1.64,0.485,1,Never Eat Me
83,LINGCODSPCOAST,1.63,0.0932,1,Never Eat Me
447,WPOLLWBS,1.63,0.96,1,Never Eat Me
388,PERCHEBSAI,1.63,0.345,1,Never Eat Me
146,SURFMATLC,1.62,0.18100000000000002,1,Never Eat Me
91,NROCKGA,1.62,0.596,1,Never Eat Me
135,NROCKBSAI,1.61,0.312,1,Never Eat Me
229,SMOOTHOREOCR,1.59,1.03,1,Never Eat Me
22,GRSPROCKSCAL,1.59,0.11699999999999999,1,Never Eat Me
272,VSNAPGM,1.53,0.602,1,Never Eat Me
0,STMARLINNEPAC,1.52,0.0754,1,Never Eat Me
332,DEEPFLATHEADSE,1.51,0.327,1,Never Eat Me
312,ATKABSAI,1.5,0.665,1,Never Eat Me
270,STFLOUNSPCOAST,1.49,0.253,1,Never Eat Me
254,GHALBSAI,1.48,0.053,1,Never Eat Me
396,PANCHPERUNC,1.47,0.54,1,Never Eat Me
203,RKCRABNS,1.47,1.98,1,Never Eat Me
74,PAUANPAU5A,1.45,0.643,1,Never Eat Me
125,PHALNPAC,1.45,0.134,1,Never Eat Me
26,BKINGCRABSMI,1.45,0.14300000000000002,1,Never Eat Me
216,TREVALLYTRE7,1.44,0.83,1,Never Eat Me
372,GSTRGZRSTA7,1.43,1.28,1,Never Eat Me
274,BLACKOREOPR,1.43,3.5,0,Avoid Me
147,SNOSESHARATL,1.42,0.721,1,Never Eat Me
27,HOKIWNZ,1.42,0.547,1,Never Eat Me
431,SMOOTHOREOWECR,1.4,0.494,1,Never Eat Me
382,BLACKGROUPERGMSATL,1.4,0.5,1,Never Eat Me
381,ALBASPAC,1.39,0.358,1,Never Eat Me
149,WPOLLNSO,1.38,0.84,1,Never Eat Me
288,SCALL5ZMAB,1.37,0.667,1,Never Eat Me
421,CROCKWCVANISOGQCI,1.37,0.737,1,Never Eat Me
460,YFINCWPAC,1.37,0.82,1,Never Eat Me
214,SMOOTHOREOBP,1.35,1.42,1,Never Eat Me
138,POPERCHGA,1.35,0.614,1,Never Eat Me
429,SPSDOGPCOAST,1.34,2.5,0,Avoid Me
224,HADGB,1.34,0.462,1,Never Eat Me
383,PCODBSAI,1.34,0.774,1,Never Eat Me
152,CABEZORECOAST,1.31,0.5589999999999999,1,Never Eat Me
292,FTOOTHSHARATL,1.3,0.0857,1,Never Eat Me
262,BGROCKPCOAST,1.3,0.517,1,Never Eat Me
246,SCUPNWATLC,1.3,0.305,1,Never Eat Me
488,KELPGREENLINGORECOAST,1.28,0.593,1,Never Eat Me
345,WROCKPCOAST,1.28,0.0187,1,Never Eat Me
58,BCRABCHESB,1.27,0.568,1,Never Eat Me
158,RKCRABBB,1.27,1.05,1,Never Eat Me
336,RGROUPGM,1.27,0.727,1,Never Eat Me
253,HERRRIGA,1.26,1.23,1,Never Eat Me
483,PHAKEPCOAST,1.23,0.866,1,Never Eat Me
298,GRSPROCKNCAL,1.22,0.0,1,Never Eat Me
171,BIGEYEWPO,1.21,1.38,1,Never Eat Me
397,SPANMACKSATLC,1.2,3.63,0,Avoid Me
218,PCODHS,1.2,0.21899999999999997,1,Never Eat Me
484,GAGSATLC,1.17,1.36,1,Never Eat Me
76,PAUASPAU5A,1.16,1.06,1,Never Eat Me
173,BHEADSHARATL,1.16,0.507,1,Never Eat Me
477,SABLEFPCOAST,1.13,3.5,0,Avoid Me
409,MUTSNAPSATLCGM,1.13,0.531,1,Never Eat Me
485,GTRIGGM,1.12,0.956,1,Never Eat Me
131,STFLOUNNPCOAST,1.1,0.11800000000000001,1,Never Eat Me
8,SABLEFEBSAIGA,1.1,0.585,1,Never Eat Me
386,GRAMBERSATLC,1.1,0.531,1,Never Eat Me
353,SNOWCRABBS,1.1,0.373,1,Never Eat Me
98,ARGANCHONARG,1.09,0.16899999999999998,1,Never Eat Me
334,BIGEYECWPAC,1.09,1.21,1,Never Eat Me
113,NZLINGWSE,1.08,0.21899999999999997,1,Never Eat Me
492,BLUEFISHATLC,1.05,0.789,1,Never Eat Me
66,PCODWCVANI,1.04,0.469,1,Never Eat Me
378,SILVERFISHSE,1.03,0.75,1,Never Eat Me
290,BIGEYEATL,1.02,0.95,1,Never Eat Me
404,WPOLLNAVAR,1.02,1.06,1,Never Eat Me
181,TILEMATLC,1.01,0.743,1,Never Eat Me
245,YFINEIO,0.993,1.15,1,Never Eat Me
440,BLACKOREOWECR,0.991,0.825,1,Never Eat Me
255,WPOLLAI,0.9790000000000001,0.0206,1,Never Eat Me
53,DEEPCHAKESA,0.96,0.382,1,Never Eat Me
79,BIGHTREDSE,0.946,1.07,1,Never Eat Me
101,LISQUIDATLC,0.938,0.16899999999999998,1,Never Eat Me
89,BSBASSMATLC,0.9159999999999999,1.15,1,Never Eat Me
51,STMARLINSWPO,0.91,0.81,1,Never Eat Me
200,ALBASATL,0.9,1.03,1,Never Eat Me
159,TILESATLC,0.899,1.55,1,Never Eat Me
223,COWCODSCAL,0.889,0.0182,1,Never Eat Me
452,SMOOTHOREOEPR,0.888,3.35,0,Avoid Me
188,RSNAPGM,0.885,3.13,0,Avoid Me
500,ACADREDGOMGB,0.866,0.133,1,Never Eat Me
213,SFLOUNMATLC,0.821,0.922,1,Never Eat Me
20,PSOLEPCOAST,0.813,0.386,1,Never Eat Me
18,VSNAPSATLC,0.8009999999999999,1.27,1,Never Eat Me
72,SMOOTHOREOSLD,0.7929999999999999,0.718,1,Never Eat Me
12,PAUAPAU7,0.792,1.3,1,Never Eat Me
186,SABLEFPCAN,0.785,1.14,1,Never Eat Me
384,RGROUPSATL,0.7490000000000001,1.55,1,Never Eat Me
491,BLUEROCKCAL,0.748,1.19,1,Never Eat Me
178,BSBASSSATL,0.703,1.09,1,Never Eat Me
330,YFINATL,0.69,1.15,1,Never Eat Me
357,CMACKPCOAST,0.68,0.39,1,Never Eat Me
266,SARDWAZC,0.679,0.72,1,Never Eat Me
75,ANCHMEDGSA16,0.669,1.62,1,Never Eat Me
242,SWHITSE,0.6629999999999999,0.7,1,Never Eat Me
217,BNSNZ,0.6579999999999999,2.71,0,Avoid Me
410,CUSK4X,0.655,0.531,1,Never Eat Me
474,BNOSESHARATL,0.652,3.5,0,Avoid Me
258,CROCKPCOAST,0.617,0.171,1,Never Eat Me
195,NZLINGESE,0.59,0.312,1,Never Eat Me
295,LOBSTERGOM,0.581,1.51,1,Never Eat Me
309,SNOWGROUPSATLC,0.574,1.28,1,Never Eat Me
320,WINDOWSNEMATL,0.562,1.26,1,Never Eat Me
241,GAGGM,0.5579999999999999,0.7,1,Never Eat Me
57,SARDINWA,0.55,3.04,0,Avoid Me
161,BMARLINATL,0.55,1.72,1,Never Eat Me
193,YEYEROCKPCOAST,0.5329999999999999,0.312,1,Never Eat Me
252,OROUGHYSE,0.519,0.305,1,Never Eat Me
228,POPERCHPCOAST,0.488,0.45,1,Never Eat Me
43,WAREHOUESE,0.488,0.847,1,Never Eat Me
316,GRAMBERGM,0.478,1.53,1,Never Eat Me
287,SARDMEDGSA16,0.47,1.07,1,Never Eat Me
318,BKCDLFENI,0.429,4.16,0,Avoid Me
267,PACBTUNA,0.42,2.71,0,Avoid Me
163,WAREHOUWSE,0.413,0.233,1,Never Eat Me
360,STMARLINNPAC,0.387,2.68,0,Avoid Me
487,SBARSHARATL,0.38,3.73,0,Avoid Me
428,OROUGHYNZMEC,0.371,2.5,0,Avoid Me
2,NZSNAPNZ8,0.353,2.5,0,Avoid Me
276,WHAKEGBGOM,0.35200000000000004,1.17,1,Never Eat Me
198,STMARLINWCNPAC,0.35,1.22,1,Never Eat Me
286,MORWONGSE,0.313,0.7190000000000001,1,Never Eat Me
36,GEMFISHSE,0.249,0.21,1,Never Eat Me
465,YELLCCODGOM,0.247,1.73,1,Never Eat Me
449,SBT,0.23,0.76,1,Never Eat Me
85,CODGOM,0.18100000000000002,4.88,0,Avoid Me
354,WINDOWGOMGB,0.17300000000000001,3.91,0,Avoid Me
314,CODVIa,0.16899999999999998,4.86,0,Avoid Me
497,WINFLOUNSNEMATL,0.162,0.172,1,Never Eat Me
475,WEAKFISHATLC,0.131,3.5,0,Avoid Me
187,YELLSNEMATL,0.128,1.61,1,Never Eat Me
472,CODGB,0.11900000000000001,1.29,1,Never Eat Me
323,RSNAPSATLC,0.105,5.04,0,Avoid Me
356,BKINGCRABPI,0.0819,3.91,0,Avoid Me
282,COD2J3KL,0.0663,0.24100000000000002,1,Never Eat Me
448,ATHAL5YZ,0.0264,0.89,1,Never Eat Me
